;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1358;DIBEDIK;ADA;ADA;NTT00328;BENTENG TADO;#N/A;VSAT;OK;NOK;;;PAP0002;WEINAMI;;PAB1362;TANEHAMUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1359;GEDEIRA;ADA;ADA;NTT00328;BENTENG TADO;;;;SP1;;;PAP0004;AKUDIOMI;;PAB1363;SENGKITI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1360;TOMSIR;ADA;ADA;NTT00338;SORU;#N/A;NO TIKET;NOK;NOK;;;PAP0005;SIMA;;PAB1364;TAWAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1361;AVONA;ADA;ADA;NTT00338;SORU;;;;SP1;;;PAP0007;URUMUSU;;PAB1366;RANGKENDAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1362;TANEHAMUR;ADA;ADA;NTT00346;LENANG SELATAN;#N/A;VSAT;NOK;NOK;;;PAP0008;ARGO MULYO;;PAB1367;KABURBUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1363;SENGKITI;ADA;ADA;NTT00346;LENANG SELATAN;;;;SP1;;;PAP0009;TOPO JAYA;;PAB1373;MINOGBEY;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1364;TAWAR;ADA;ADA;NTT00348;KONDA MALOBA;#N/A;NO TIKET;NOK;NOK;;;PAP0010;GAMEI JAYA;;PAB1374;KAYUNI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1366;RANGKENDAK;ADA;ADA;NTT00348;KONDA MALOBA;;;;SP1;;;PAP0011;UNIPO;;PAB1375;KUAGAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1367;KABURBUR;ADA;ADA;NTT00351;KAHALE;#N/A;VSAT;NOK;NOK;;;PAP0013;EPOMANI;;PAB1377;HOMORKOKMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1373;MINOGBEY;NO LIST;ADA;NTT00351;KAHALE;;;;SP1;;;PAP0017;MAKIMI;;PAB1378;UBADARI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1374;KAYUNI;ADA;ADA;NTT00354;POCO RII;#N/A;VSAT;OK;NOK;;;PAP0019;BIHA;;PAB1381;WARMORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1375;KUAGAS;ADA;ADA;NTT00354;POCO RII;;;;SP1;;;PAP0021;MANUNGGAL JAYA;;PAB1382;WARPA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1377;HOMORKOKMA;ADA;ADA;NTT00362;NANGA BARAS;#N/A;NO TIKET;OK;NOK;;;PAP0027;BOMOPAI;;PAB1400;NAGURA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1378;UBADARI;ADA;ADA;NTT00362;NANGA BARAS;;;;SP1;;;PAP0028;PARAUTO;;PAB1401;TANUSAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1381;WARMORI;ADA;ADA;NTT00366;NANGA MBAUR;#N/A;NO TIKET;OK;NOK;;;PAP0036;MOOR;;PAP0001;MASIPAWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1382;WARPA;ADA;ADA;NTT00366;NANGA MBAUR;;;;SP1;;;PAP0038;ARUI;;PAP0002;WEINAMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1400;NAGURA;ADA;ADA;NTT00372;COMPANG CONGKAR;#N/A;NO TIKET;NOK;NOK;;;PAP0045;OGIYAI;;PAP0004;AKUDIOMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1401;TANUSAN;ADA;ADA;NTT00372;COMPANG CONGKAR;;;;SP1;;;PAP0049;KAIRAWI;;PAP0005;SIMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0001;MASIPAWA;NO LIST;ADA;NTT00383;LEGUR LAI;#N/A;NO TIKET;OK;NOK;;;PAP0050;NATABUI;;PAP0007;URUMUSU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0002;WEINAMI;ADA;ADA;NTT00383;LEGUR LAI;;;;SP1;;;PAP0051;WARABORI;;PAP0008;ARGO MULYO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0003;YAUR;NO LIST;NO LIST;NTT00390;BAMO;#N/A;NO TIKET;OK;NOK;;;PAP0053;SASAWA;;PAP0009;TOPO JAYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0004;AKUDIOMI;ADA;ADA;NTT00390;BAMO;;;;SP1;;;PAP0055;MANIRI;;PAP0010;GAMEI JAYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0005;SIMA;ADA;ADA;NTT00391;MOKEL MORID;#N/A;NO TIKET;OK;NOK;;;PAP0057;YENUSI;;PAP0011;UNIPO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0006;TOPO;NO LIST;NO LIST;NTT00391;MOKEL MORID;;;;SP1;;;PAP0058;MARAU;;PAP0013;EPOMANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0007;URUMUSU;ADA;ADA;NTT00394;GOLO LONI;#N/A;VSAT;OK;NOK;;;PAP0059;TOWETA;;PAP0016;UGIDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0008;ARGO MULYO;ADA;ADA;NTT00394;GOLO LONI;;;;SP1;;;PAP0060;MOIWANI;;PAP0017;MAKIMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0009;TOPO JAYA;ADA;ADA;NTT00395;COMPANG KANTAR;#N/A;BTS;NOK;NOK;;;PAP0061;YARORI;;PAP0019;BIHA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0010;GAMEI JAYA;ADA;ADA;NTT00395;COMPANG KANTAR;;;;SP1;;;PAP0062;NAREI;;PAP0021;MANUNGGAL JAYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0011;UNIPO;ADA;ADA;NTT00395;COMPANG KANTAR;ENB power cut off notification;BTS;NOK;NOK;;;PAP0072;MANANAYAN;;PAP0024;BAWEI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0012;AIBORE;NO LIST;NO LIST;NTT00395;COMPANG KANTAR;;;;SP1;;;PAP0076;POOM II;;PAP0025;GONI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0013;EPOMANI;ADA;ADA;NTT00396;SATAR LENDA;#N/A;NO TIKET;OK;NOK;;;PAP0077;MAKIROAN;;PAP0027;BOMOPAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0016;UGIDA;NO LIST;ADA;NTT00396;SATAR LENDA;;;;SP1;;;PAP0079;WORIOI;;PAP0028;PARAUTO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0017;MAKIMI;ADA;ADA;NTT00397;LALANG;#N/A;NO TIKET;NOK;NOK;;;PAP0090;NUMAMAN;;PAP0035;HARITI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0018;NIFASI;NO LIST;NO LIST;NTT00397;LALANG;;;;SP1;;;PAP0113;TAREI;;PAP0036;MOOR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0019;BIHA;ADA;ADA;NTT004;TUAPANAF;#N/A;VSAT;NOK;NOK;;;PAP0128;WOOI;;PAP0037;KAMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0020;MAIDEY;NO LIST;NO LIST;NTT004;TUAPANAF;;;;SP1;;;PAP0129;WOINAP;;PAP0038;ARUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0021;MANUNGGAL JAYA;ADA;ADA;NTT0040;NONOTBATAN;#N/A;VSAT;OK;NOK;;;PAP0130;AIBONDENI;;PAP0044;KUNUPI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0022;NAPAN YAUR;NO LIST;NO LIST;NTT0040;NONOTBATAN;;;;SP1;;;PAP0131;KANAKI;;PAP0045;OGIYAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0023;YERETUAR;NO LIST;NO LIST;NTT0041;TUAMESE;#N/A;NO TIKET;NOK;NOK;;;PAP0134;HAIHOREI;;PAP0049;KAIRAWI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0024;BAWEI;NO LIST;ADA;NTT0041;TUAMESE;;;;SP1;;;PAP0136;JAIMARIA;;PAP0050;NATABUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0025;GONI;NO LIST;ADA;NTT00413;LEMPANG PAJI;#N/A;ADUAN;OK;NOK;;;PAP0137;AWADO;;PAP0051;WARABORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0026;ORORODO;NO LIST;NO LIST;NTT00413;LEMPANG PAJI;;;;SP1;;;PAP0140;ASAI;;PAP0053;SASAWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0027;BOMOPAI;ADA;ADA;NTT00414;NANGA MEJE;#N/A;VSAT;OK;NOK;;;PAP0142;WAISANI;;PAP0055;MANIRI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0028;PARAUTO;ADA;ADA;NTT00414;NANGA MEJE;;;;SP1;;;PAP0158;YAPAN;;PAP0057;YENUSI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0034;MAMBOR;NO LIST;NO LIST;NTT00415;GOLO LINUS;#N/A;NO TIKET;OK;NOK;;;PAP0169;ROSAYENDI;;PAP0058;MARAU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0035;HARITI;NO LIST;ADA;NTT00415;GOLO LINUS;;;;SP1;;;PAP0171;NERMNU;;PAP0059;TOWETA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0036;MOOR;ADA;ADA;NTT00416;WAE RASAN;#N/A;NO TIKET;OK;NOK;;;PAP0186;KANDIBUNDI;;PAP0060;MOIWANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0037;KAMA;NO LIST;ADA;NTT00416;WAE RASAN;;;;SP1;;;PAP0187;SOSMAI;;PAP0061;YARORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0038;ARUI;ADA;ADA;NTT00417;NANGA PUUN;#N/A;VSAT;NOK;NOK;;;PAP0191;SAWAI;;PAP0062;NAREI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0044;KUNUPI;NO LIST;ADA;NTT00417;NANGA PUUN;;;;SP1;;;PAP0193;YERUBOI;;PAP0072;MANANAYAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0045;OGIYAI;ADA;ADA;NTT00417;NANGA PUUN;ENB out of service;VSAT;NOK;NOK;;;PAP0197;WASANI;;PAP0076;POOM II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0049;KAIRAWI;ADA;ADA;NTT00417;NANGA PUUN;;;;SP1;;;PAP0200;INYOBI;;PAP0077;MAKIROAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0050;NATABUI;ADA;ADA;NTT00419;KOLORAE;#N/A;NO TIKET;OK;NOK;;;PAP0208;KABIDON;;PAP0079;WORIOI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0051;WARABORI;ADA;ADA;NTT00419;KOLORAE;;;;SP1;;;PAP0209;SUNYAR;;PAP0084;TATUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0053;SASAWA;ADA;ADA;NTT0042;NAEKAKE B;#N/A;NO TIKET;NOK;NOK;;;PAP0210;MOIBAKEN;;PAP0085;ARIEPI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0055;MANIRI;ADA;ADA;NTT0042;NAEKAKE B;;;;SP1;;;PAP0212;SYABES;;PAP0088;MAMBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0057;YENUSI;ADA;ADA;NTT00421;LAI LARA;#N/A;NO TIKET;NOK;NOK;;;PAP0213;SUNERI;;PAP0090;NUMAMAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0058;MARAU;ADA;ADA;NTT00421;LAI LARA;;;;SP1;;;PAP0221;RUMBIN;;PAP0092;SARAWANDORI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0059;TOWETA;ADA;ADA;NTT00428;ONI;#N/A;NO TIKET;NOK;NOK;;;PAP0222;ROIDIFU;;PAP0093;ARIEPI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0060;MOIWANI;ADA;ADA;NTT00428;ONI;;;;SP1;;;PAP0224;WOUNA;;PAP0113;TAREI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0061;YARORI;ADA;ADA;NTT0043;NOELELO;#N/A;NO TIKET;NOK;NOK;;;PAP0225;WODU;;PAP0128;WOOI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0062;NAREI;ADA;ADA;NTT0043;NOELELO;;;;SP1;;;PAP0226;FARUSI;;PAP0129;WOINAP;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0072;MANANAYAN;ADA;ADA;NTT00436;TANGLAPUI;#N/A;NO TIKET;NOK;NOK;;;PAP0228;SWAINOBER;;PAP0130;AIBONDENI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0076;POOM II;ADA;ADA;NTT00436;TANGLAPUI;;;;SP1;;;PAP0229;MARDORI;;PAP0131;KANAKI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0077;MAKIROAN;ADA;ADA;NTT00437;NAILANG;#N/A;VSAT;NOK;NOK;;;PAP0232;SARWA;;PAP0134;HAIHOREI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0079;WORIOI;ADA;ADA;NTT00437;NAILANG;;;;SP1;;;PAP0260;MAKMAKERBO;;PAP0136;JAIMARIA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0081;AROMAREA;NO LIST;NO LIST;NTT00446;CUNCA WULANG;#N/A;NO TIKET;NOK;NOK;;;PAP0261;WOPES;;PAP0137;AWADO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0083;KANAWA;NO LIST;NO LIST;NTT00446;CUNCA WULANG;;;;SP1;;;PAP0264;SANSUNDI;;PAP0140;ASAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0084;TATUI;NO LIST;ADA;NTT00448;SERAYA MARANNU;#N/A;NO TIKET;OK;NOK;;;PAP0275;PUDOTADI;;PAP0142;WAISANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0085;ARIEPI;NO LIST;ADA;NTT00448;SERAYA MARANNU;;;;SP1;;;PAP0304;TAGIYA;;PAP0158;YAPAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0086;SARWANDORI I;NO LIST;NO LIST;NTT00449;REHAK;#N/A;VSAT;NOK;NOK;;;PAP0322;DAMA DAMA;;PAP0169;ROSAYENDI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0087;AMBAIDIRU;NO LIST;NO LIST;NTT00449;REHAK;;;;SP1;;;PAP0330;BUA;;PAP0171;NERMNU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0088;MAMBO;NO LIST;ADA;NTT00450;GOLO RATUNG;#N/A;VSAT;NOK;NOK;;;PAP0333;DOGOMOUTO;;PAP0186;KANDIBUNDI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0089;PANDUAMI;NO LIST;NO LIST;NTT00450;GOLO RATUNG;;;;SP1;;;PAP0334;NOMOKOPETA;;PAP0187;SOSMAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0090;NUMAMAN;ADA;ADA;NTT00455;GOLO LARONG;#N/A;BTS;OK;NOK;;;PAP0335;EUGAI;;PAP0191;SAWAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0091;RAMANGKURANI;NO LIST;NO LIST;NTT00455;GOLO LARONG;;;;SP1;;;PAP0361;EDIKUMEIDA;;PAP0193;YERUBOI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0092;SARAWANDORI II;NO LIST;ADA;NTT00457;SUKA KIONG;#N/A;VSAT;OK;NOK;;;PAP0390;TAMUGAUWO;;PAP0197;WASANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0093;ARIEPI II;NO LIST;ADA;NTT00457;SUKA KIONG;;;;SP1;;;PAP0392;DEI;;PAP0200;INYOBI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0094;MANAININ;NO LIST;NO LIST;NTT00458;WAE LOLOS;#N/A;NO TIKET;NOK;NOK;;;PAP0397;PUGOWOGE;;PAP0208;KABIDON;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0113;TAREI;ADA;ADA;NTT00458;WAE LOLOS;;;;SP1;;;PAP0438;YOUTADI;;PAP0209;SUNYAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0128;WOOI;ADA;ADA;NTT00459;MATA WAE;#N/A;NO TIKET;NOK;NOK;;;PAP0440;YUMAUWO;;PAP0210;MOIBAKEN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0129;WOINAP;ADA;ADA;NTT00459;MATA WAE;;;;SP1;;;PAP0441;YOUTADI (II);;PAP0212;SYABES;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0130;AIBONDENI;ADA;ADA;NTT00460;PENGKA;#N/A;NO TIKET;NOK;NOK;;;PAP0470;EKAUWIYA;;PAP0213;SUNERI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0131;KANAKI;ADA;ADA;NTT00460;PENGKA;;;;SP1;;;PAP0475;BAGUWO;;PAP0216;SOR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0134;HAIHOREI;ADA;ADA;NTT00464;WATU PANGGAL;#N/A;NO TIKET;OK;NOK;;;PAP0480;SAURI SIRAMI;;PAP0221;RUMBIN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0136;JAIMARIA;ADA;ADA;NTT00464;WATU PANGGAL;;;;SP1;;;PAP0483;KALI BARU;;PAP0222;ROIDIFU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0137;AWADO;ADA;ADA;NTT00465;GOLO SENGANG;#N/A;VSAT;OK;NOK;;;PAP0500;UNAREU;;PAP0224;WOUNA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0140;ASAI;ADA;ADA;NTT00465;GOLO SENGANG;;;;SP1;;;PAP0538;NAU;;PAP0225;WODU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0142;WAISANI;ADA;ADA;NTT00470;NGALUROGA;#N/A;VSAT;NOK;NOK;;;PAP0591;IMBIRSBARI;;PAP0226;FARUSI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0154;JENIARI;NO LIST;NO LIST;NTT00470;NGALUROGA;;;;SP1;;;PAP0592;INEKI;;PAP0228;SWAINOBER;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0155;AUSEM;NO LIST;NO LIST;NTT00471;WAKA;#N/A;NO TIKET;NOK;NOK;;;PAP0593;INSUMBREI;;PAP0229;MARDORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0158;YAPAN;ADA;ADA;NTT00471;WAKA;;;;SP1;;;PAP0595;WAYORI;;PAP0232;SARWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0169;ROSAYENDI;ADA;ADA;NTT00472;TIWU TEWA;#N/A;BTS;SP1;NOK;;;PAP0596;AMYAS;;PAP0260;MAKMAKERBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0171;NERMNU;ADA;ADA;NTT00472;TIWU TEWA;;;;SP1;;;PAP0598;MASYAI;;PAP0261;WOPES;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0186;KANDIBUNDI;ADA;ADA;NTT00473;NILA;#N/A;NO TIKET;OK;NOK;;;PAP0649;KORDESI;;PAP0264;SANSUNDI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0187;SOSMAI;ADA;ADA;NTT00473;NILA;;;;SP1;;;PAP0743;DIKIYOUWA;;PAP0275;PUDOTADI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0191;SAWAI;ADA;ADA;NTT00477;MBULIWARALAU;#N/A;VSAT;OK;NOK;;;PAP0744;IDAKOTU;;PAP0282;IDAIYO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0193;YERUBOI;ADA;ADA;NTT00477;MBULIWARALAU;;;;SP1;;;PAP0746;ABAIMAIDA;;PAP0304;TAGIYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0197;WASANI;ADA;ADA;NTT00480;DETUPERA;#N/A;NO TIKET;NOK;NOK;;;PAP0768;DUNTEK;;PAP0322;DAMA DAMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0198;KARUIBERIK;NO LIST;NO LIST;NTT00480;DETUPERA;;;;SP1;;;PAP0796;PIYAKUNU;;PAP0330;BUA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0200;INYOBI;ADA;ADA;NTT00483;NIDA;#N/A;VSAT;NOK;NOK;;;PAP0805;KIGAMANI;;PAP0333;DOGOMOUTO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0208;KABIDON;ADA;ADA;NTT00483;NIDA;;;;SP1;;;PAP0806;IDADAGI;;PAP0334;NOMOKOPETA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0209;SUNYAR;ADA;ADA;NTT00484;OTOGEDU;#N/A;NO TIKET;SP1;SP1;;;PAP0807;DENEMANI;;PAP0335;EUGAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0210;MOIBAKEN;ADA;ADA;NTT00485;NIRA NUSA;#N/A;VSAT;NOK;NOK;;;PAP0808;MAKADIMI;;PAP0361;EDIKUMEIDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0212;SYABES;ADA;ADA;NTT00485;NIRA NUSA;;;;SP1;;;PAP0912;YABA I;;PAP0390;TAMUGAUWO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0213;SUNERI;ADA;ADA;NTT00486;FATAMARI;#N/A;VSAT;NOK;NOK;;;PAP0913;WAGHETE II;;PAP0392;DEI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0214;ASUR;NO LIST;NO LIST;NTT00486;FATAMARI;;;;SP1;;;PAP0915;OKOMOKEBO;;PAP0397;PUGOWOGE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0215;WASORI;NO LIST;NO LIST;NTT0054;KELAISI BARAT;#N/A;NO TIKET;OK;NOK;;;PAP0918;ONEIBO;;PAP0438;YOUTADI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0216;SOR;NO LIST;ADA;NTT0054;KELAISI BARAT;;;;SP1;;;PAP0925;AMAGO;;PAP0440;YUMAUWO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0221;RUMBIN;ADA;ADA;NTT0055;KUNEMAN;#N/A;NO TIKET;NOK;NOK;;;PAP0928;DAMABAGATA;;PAP0441;YOUTADI (II);;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0222;ROIDIFU;ADA;ADA;NTT0055;KUNEMAN;;;;SP1;;;PAP0930;DAKEBO;;PAP0470;EKAUWIYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0224;WOUNA;ADA;ADA;NTT00560;PALILOLON;#N/A;BTS;SP1;BAD;;;PAP0931;BAGOU;;PAP0475;BAGUWO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0225;WODU;ADA;ADA;NTT00560;PALILOLON;;;;SP1;;;PAP0939;IDAYODAGI;;PAP0480;SAURI SIRAMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0226;FARUSI;ADA;ADA;NTT00560;PALILOLON;ENB power cut off notification;BTS;SP1;BAD;;;PAP0943;YEWADIDE;;PAP0483;KALI BARU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0228;SWAINOBER;ADA;ADA;NTT00560;PALILOLON;;;;SP1;;;PAP0946;GAKOKEBO;;PAP0500;UNAREU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0229;MARDORI;ADA;ADA;NTT00561;BABOKERONG;#N/A;VSAT;OK;NOK;;;PAP0949;ONAGO;;PAP0538;NAU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0232;SARWA;ADA;ADA;NTT00561;BABOKERONG;;;;SP1;;;PAP0950;WAGOMANI;;PAP0589;WONGKEINA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0260;MAKMAKERBO;ADA;ADA;NTT00562;AULESA;#N/A;NO TIKET;NOK;NOK;;;PAP0951;DIGIBAGATA;;PAP0591;IMBIRSBARI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0261;WOPES;ADA;ADA;NTT00562;AULESA;;;;SP1;;;PAP0954;TENEDAGI;;PAP0592;INEKI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0264;SANSUNDI;ADA;ADA;NTT00563;LIWULAGANG;#N/A;VSAT;OK;NOK;;;PAP0963;KOGEMANI;;PAP0593;INSUMBREI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0272;PAPATO;NO LIST;NO LIST;NTT00563;LIWULAGANG;;;;SP1;;;PAP0984;ARURI;;PAP0594;KOIRYAKAM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0275;PUDOTADI;ADA;ADA;NTT00564;NORMAL;#N/A;NO TIKET;OK;NOK;;;PAP1000;KUMPEKI;;PAP0595;WAYORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0282;IDAIYO;NO LIST;ADA;NTT00564;NORMAL;;;;SP1;;;PAP1002;WADERBO;;PAP0596;AMYAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0285;AMOPA;NO LIST;NO LIST;NTT00564;NORMAL;RCU absent;NO TIKET;OK;NOK;;;PAP1003;WADIBU;;PAP0598;MASYAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0293;PUTAKOGOPA;NO LIST;NO LIST;NTT00564;NORMAL;;;;SP1;;;PAP1004;AFEFBO;;PAP0618;DOUFO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0295;YABOMAIDA;NO LIST;NO LIST;NTT00565;ATAWAI;#N/A;NO TIKET;OK;NOK;;;PAP1005;SAURI;;PAP0620;WAHUKA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0301;BODATADI;NO LIST;NO LIST;NTT00565;ATAWAI;;;;SP1;;;PAP1007;SOON;;PAP0649;KORDESI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0302;TOYAIMOTI;NO LIST;NO LIST;NTT0057;SILAIPUI;#N/A;NO TIKET;OK;NOK;;;PAP1008;SEPSE;;PAP0743;DIKIYOUWA;;;;;
