;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;PAP0984;ARURI;99,7;83,78142857;6,844285714;0;0;0;0;0;0;0;1;0,866071429;0,069940476;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;47,58;48,40%;;PAP0984;ARURI;99,70;83,78;6,84;0;0;0;0;0;0;0;100,00%;86,61%;6,99%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;47,58;48,40%;;;;;;;;;;;;;
;;;PAP0990;KAMANAP;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0990;KAMANAP;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1000;KUMPEKI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1000;KUMPEKI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1002;WADERBO;100;100;99,84428571;100;100;100;100;100;99,86;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAP1002;WADERBO;100,00;100,00;99,84;100;100;100;100;100;99,86;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAP1003;WADIBU;96,65571429;97,35;96,81857143;100;100;100;100;100;100;100;0,970238095;0,976190476;0,970238095;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,71;97,92%;;PAP1003;WADIBU;96,66;97,35;96,82;100;100;100;100;100;100;100;97,02%;97,62%;97,02%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,71;97,92%;;;;;;;;;;;;;
;;;PAP1004;AFEFBO;49,63285714;34,93714286;31,39571429;34,91;34,91;36,41;40,67;26,25;38,35;37,78;1;0,891369048;0,794642857;78,13%;75,00%;82,29%;72,92%;90,63%;73,96%;81,25%;37,89;86,94%;;PAP1004;AFEFBO;49,63;34,94;31,40;34,91;34,91;36,41;40,67;26,25;38,35;37,78;100,00%;89,14%;79,46%;78,13%;75,00%;82,29%;72,92%;90,63%;73,96%;81,25%;37,89;86,94%;;;;;;;;;;;;;
;;;PAP1005;SAURI;100;100;100;100;100;100;100;100;99,87;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1005;SAURI;100,00;100,00;100,00;100;100;100;100;100;99,87;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1006;SAWA;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1006;SAWA;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1007;SOON;97,70285714;100;100;100;100;100;68,26;100;64,86;100;0,986607143;1;0,994047619;100,00%;100,00%;100,00%;73,96%;100,00%;69,79%;100,00%;97,04;97,51%;;PAP1007;SOON;97,70;100,00;100,00;100;100;100;68,26;100;64,86;100;98,66%;100,00%;99,40%;100,00%;100,00%;100,00%;73,96%;100,00%;69,79%;100,00%;97,04;97,51%;;;;;;;;;;;;;
;;;PAP1008;SEPSE;100;100;99,99571429;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1008;SEPSE;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1009;SUNDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1009;SUNDE;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1010;ARMNU;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1010;ARMNU;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1011;KARNINDI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1011;KARNINDI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1012;MAMBEORI;36,95571429;37,47714286;34,59714286;35,65;32,99;40,69;34,08;26,12;37,9;28,31;0,428571429;0,449404762;0,4375;45,83%;43,75%;45,83%;46,88%;39,58%;46,88%;39,58%;35,68;43,90%;;PAP1012;MAMBEORI;36,96;37,48;34,60;35,65;32,99;40,69;34,08;26,12;37,9;28,31;42,86%;44,94%;43,75%;45,83%;43,75%;45,83%;46,88%;39,58%;46,88%;39,58%;35,68;43,90%;;;;;;;;;;;;;
;;;PAP1013;WARAWAF;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;15,63%;44,79%;50,00%;50,00%;0,00;5,73%;;PAP1013;WARAWAF;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;15,63%;44,79%;50,00%;50,00%;0,00;5,73%;;;;;;;;;;;;;
;;;PAP1014;BIAWER;100;100;100;100;100;100;100;100;99,89;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1014;BIAWER;100,00;100,00;100,00;100;100;100;100;100;99,89;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1015;MANIRI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1015;MANIRI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1016;SAMBAWOFUAR;51,74571429;12,57142857;10,08;0;0;0;0;0;0;0;0,529761905;0,19047619;0,15327381;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;18,60;21,84%;;PAP1016;SAMBAWOFUAR;51,75;12,57;10,08;0;0;0;0;0;0;0;52,98%;19,05%;15,33%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;18,60;21,84%;;;;;;;;;;;;;
;;;PAP1017;RARMPIMBO;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1017;RARMPIMBO;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1018;SAMBERSUP;81,32142857;100;100;100;100;100;100;100;100;100;0,827380952;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,33;95,54%;;PAP1018;SAMBERSUP;81,32;100,00;100,00;100;100;100;100;100;100;100;82,74%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,33;95,54%;;;;;;;;;;;;;
;;;PAP1019;SANUMI;100;100;99,98285714;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1019;SANUMI;100,00;100,00;99,98;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1021;AMYAMBENRAM;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1021;AMYAMBENRAM;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1022;WARBERIK;56,36428571;65,90857143;70,23571429;54,58;64,03;54,64;58,04;52,16;57,5;79,82;0,700892857;0,80952381;0,84077381;58,33%;84,38%;67,71%;67,71%;79,17%;64,58%;95,83%;63,15;77,27%;;PAP1022;WARBERIK;56,36;65,91;70,24;54,58;64,03;54,64;58,04;52,16;57,5;79,82;70,09%;80,95%;84,08%;58,33%;84,38%;67,71%;67,71%;79,17%;64,58%;95,83%;63,15;77,27%;;;;;;;;;;;;;
;;;PAP1024;RAMDORI;99,98285714;100;99,97714286;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP1024;RAMDORI;99,98;100,00;99,98;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP1025;SASWARBO;99,38857143;100;100;100;100;100;100;100;100;100;0,995535714;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,85;99,74%;;PAP1025;SASWARBO;99,39;100,00;100,00;100;100;100;100;100;100;100;99,55%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,85;99,74%;;;;;;;;;;;;;
;;;PAP1026;ANJAREUW;44,41285714;0,025714286;0,032857143;0,01;0;0;0;0;0;0;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;11,12;99,85%;;PAP1026;ANJAREUW;44,41;0,03;0,03;0,01;0;0;0;0;0;0;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;11,12;99,85%;;;;;;;;;;;;;
;;;PAP1027;MARYENDI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1027;MARYENDI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1028;MAKUKER;89,52;80,63857143;89,49428571;80,63;84,63;74,17;81,99;89,38;68,09;100;0,953869048;0,894345238;0,931547619;69,79%;100,00%;82,29%;91,67%;100,00%;75,00%;100,00%;85,59;91,59%;;PAP1028;MAKUKER;89,52;80,64;89,49;80,63;84,63;74,17;81,99;89,38;68,09;100;95,39%;89,43%;93,15%;69,79%;100,00%;82,29%;91,67%;100,00%;75,00%;100,00%;85,59;91,59%;;;;;;;;;;;;;
;;;PAP1030;MADI;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1030;MADI;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1036;MEMOWA;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1036;MEMOWA;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1044;YAWERMA;100;99,99142857;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1044;YAWERMA;100,00;99,99;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1045;DAKABADO;59,21571429;54,93714286;54,29142857;59,56;63,04;47,83;54,96;63,64;45,29;54,14;0,608630952;0,5625;0,5625;63,54%;63,54%;51,04%;56,25%;65,63%;46,88%;56,25%;55,98;57,74%;;PAP1045;DAKABADO;59,22;54,94;54,29;59,56;63,04;47,83;54,96;63,64;45,29;54,14;60,86%;56,25%;56,25%;63,54%;63,54%;51,04%;56,25%;65,63%;46,88%;56,25%;55,98;57,74%;;;;;;;;;;;;;
;;;PAP1048;MARYAIDORI;99,93714286;99,97428571;99,96285714;100;100;100;100;100;99,91;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,97;99,85%;;PAP1048;MARYAIDORI;99,94;99,97;99,96;100;100;100;100;100;99,91;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,97;99,85%;;;;;;;;;;;;;
;;;PAP1049;KOBARI JAYA;22,18428571;22,37;20,43857143;28,63;27,81;67,35;71,67;61,11;69,85;81,97;0,242559524;0,244047619;0,233630952;29,17%;33,33%;71,88%;83,33%;79,17%;73,96%;92,71%;30,83;34,56%;;PAP1049;KOBARI JAYA;22,18;22,37;20,44;28,63;27,81;67,35;71,67;61,11;69,85;81,97;24,26%;24,40%;23,36%;29,17%;33,33%;71,88%;83,33%;79,17%;73,96%;92,71%;30,83;34,56%;;;;;;;;;;;;;
;;;PAP1051;AIR MANDIDI;100;100;100;100;100;100;100;100;99,88;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1051;AIR MANDIDI;100,00;100,00;100,00;100;100;100;100;100;99,88;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1052;HUMBEHAWAI;100;100;100;100;100;100;100;100;99,99;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1052;HUMBEHAWAI;100,00;100,00;100,00;100;100;100;100;100;99,99;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1056;SAWADORI;100;100;100;100;100;100;100;100;72,56;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;73,96%;100,00%;99,02;98,92%;;PAP1056;SAWADORI;100,00;100,00;100,00;100;100;100;100;100;72,56;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;73,96%;100,00%;99,02;98,92%;;;;;;;;;;;;;
;;;PAP1057;EKODAGI;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1057;EKODAGI;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1058;DIMI;80,16;84,17142857;78,51142857;82,29;79,86;82,99;75,65;70,09;70,27;70,83;0,821428571;0,857142857;0,803571429;76,04%;81,25%;84,38%;77,08%;71,88%;71,88%;72,92%;79,71;81,18%;;PAP1058;DIMI;80,16;84,17;78,51;82,29;79,86;82,99;75,65;70,09;70,27;70,83;82,14%;85,71%;80,36%;76,04%;81,25%;84,38%;77,08%;71,88%;71,88%;72,92%;79,71;81,18%;;;;;;;;;;;;;
;;;PAP1059;MANGGONSWAN;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1059;MANGGONSWAN;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1060;PUWERI;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1060;PUWERI;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1062;KALI MERAH;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1062;KALI MERAH;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1063;AMOYAIBUTU;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1063;AMOYAIBUTU;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1064;WARYEI;0;0;0;0;0;0;0;0;0;0;0,308035714;0,334821429;0,324404762;33,33%;38,54%;92,71%;87,50%;62,50%;77,08%;75,00%;0,00;40,85%;;PAP1064;WARYEI;0,00;0,00;0,00;0;0;0;0;0;0;0;30,80%;33,48%;32,44%;33,33%;38,54%;92,71%;87,50%;62,50%;77,08%;75,00%;0,00;40,85%;;;;;;;;;;;;;
;;;PAP1065;WAFOR;0,001428571;0,004285714;0,001428571;0,09;0;0,11;0;0,04;0;0;0,270833333;0,257440476;0,269345238;42,71%;61,46%;68,75%;68,75%;61,46%;68,75%;67,71%;0,01;35,64%;;PAP1065;WAFOR;0,00;0,00;0,00;0,09;0;0,11;0;0,04;0;0;27,08%;25,74%;26,93%;42,71%;61,46%;68,75%;68,75%;61,46%;68,75%;67,71%;0,01;35,64%;;;;;;;;;;;;;
;;;PAP1068;YAPANANI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1068;YAPANANI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1069;ASARKIR;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1069;ASARKIR;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1070;INMDI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1070;INMDI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1073;ONAIGEDAPA;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1073;ONAIGEDAPA;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1074;WATIYAI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1074;WATIYAI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1075;EGEPAKIGIDA;100;100;100;100;100;90,32;100;75,56;69,47;100;1;1;0,994047619;100,00%;100,00%;91,67%;100,00%;77,08%;70,83%;100,00%;97,69;97,69%;;PAP1075;EGEPAKIGIDA;100,00;100,00;100,00;100;100;90,32;100;75,56;69,47;100;100,00%;100,00%;99,40%;100,00%;100,00%;91,67%;100,00%;77,08%;70,83%;100,00%;97,69;97,69%;;;;;;;;;;;;;
;;;PAP1077;DEIYAI MIYO;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP1077;DEIYAI MIYO;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP1079;MANUNGGAL JAYA II;100;100;100;100;100;100;100;100;99,71;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP1079;MANUNGGAL JAYA II;100,00;100,00;100,00;100;100;100;100;100;99,71;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP1080;SAMABUSA;0;0;0;0;0;0;0;0;0;0;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;0,00;99,85%;;PAP1080;SAMABUSA;0,00;0,00;0,00;0;0;0;0;0;0;0;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;0,00;99,85%;;;;;;;;;;;;;
;;;PAP1081;NIFASI II;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1081;NIFASI II;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1082;NAPAN YAUR II;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1082;NAPAN YAUR II;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1083;BIHA II;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1083;BIHA II;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1084;AKUDIOMI II;100;100;100;100;100;100;100;100;99,62;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP1084;AKUDIOMI II;100,00;100,00;100,00;100;100;100;100;100;99,62;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP1085;AKUDIOMI III;100;100;100;100;100;100;100;100;99,98;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1085;AKUDIOMI III;100,00;100,00;100,00;100;100;100;100;100;99,98;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1086;WAMI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1086;WAMI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1087;NIFASI III;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1087;NIFASI III;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP1089;TADAUTO;3,498571429;5,578571429;0;0;0;0;0;0;0;0;0,157738095;0,132440476;0,017857143;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27;7,70%;;PAP1089;TADAUTO;3,50;5,58;0,00;0;0;0;0;0;0;0;15,77%;13,24%;1,79%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27;7,70%;;;;;;;;;;;;;
;;;PAP1092;YERMEKI;100;100;100;100;100;99,94;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP1092;YERMEKI;100,00;100,00;100,00;100;100;99,94;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
